cve_scenario|num_year|pct_rate
36|25|0.074217202
36|26|0.077267547
36|27|0.091366749
36|28|0.099504288
36|29|0.092393916
36|30|0.10399991
37|1|0.04509729
37|2|0.03975342
37|3|0.039528083
37|4|0.045630999
37|5|0.059361738
37|6|0.064488459
37|7|0.073672101
37|8|0.067707857
37|9|0.080839894
37|10|0.078828098
37|11|0.065237635
37|12|0.055708986
37|13|0.0471521
37|14|0.050035708
37|15|0.051860488
37|16|0.046012449
37|17|0.03994309
37|18|0.033373903
37|19|0.030452373
37|20|0.033572139
37|21|0.035578958
37|22|0.038725834
37|23|0.039316022
37|24|0.033344423
37|25|0.029141265
37|26|0.044331728
37|27|0.046524908
37|28|0.057052325
37|29|0.043707424
37|30|0.045078889
38|1|0.04509729
38|2|0.052083056
38|3|0.060370646
38|4|0.053936305
38|5|0.063621974
38|6|0.059027257
38|7|0.059929962
38|8|0.064054141
38|9|0.060008207
38|10|0.066250369
38|11|0.077509395
38|12|0.081479363
38|13|0.069620316
38|14|0.072377265
38|15|0.068924397
38|16|0.07651519
38|17|0.091675998
38|18|0.086879226
38|19|0.08162288
38|20|0.069965775
38|21|0.072250931
38|22|0.073079487
38|23|0.073651377
38|24|0.076180087
38|25|0.08421614
38|26|0.079442037
38|27|0.08708253
38|28|0.079834801
38|29|0.074472182
38|30|0.074420354
39|1|0.04509729
39|2|0.050520453
39|3|0.041831552
39|4|0.044116112
39|5|0.042291939
39|6|0.037581611
39|7|0.051131411
39|8|0.036463471
39|9|0.033301729
39|10|0.036050176
39|11|0.043790177
39|12|0.043974084
39|13|0.031101131
39|14|0.029925597
39|15|0.029102716
39|16|0.032401293
39|17|0.031462656
39|18|0.030735608
39|19|0.032629922
39|20|0.028183832
39|21|0.040695821
39|22|0.035500602
39|23|0.037704868
39|24|0.034269677
39|25|0.037667177
39|26|0.039696319
39|27|0.040706023
39|28|0.044373627
39|29|0.039309906
39|30|0.048124465
40|1|0.04509729
40|2|0.054211456
40|3|0.050804383
40|4|0.054697163
40|5|0.050525577
40|6|0.045768026
40|7|0.049311361
40|8|0.05304334
40|9|0.055439804
40|10|0.052028694
40|11|0.056470483
40|12|0.053486696
40|13|0.061640699
40|14|0.064747442
40|15|0.078129189
40|16|0.066289608
40|17|0.074503279
40|18|0.059453344
40|19|0.05643862
40|20|0.059243377
40|21|0.054159092
40|22|0.080463579
40|23|0.078319212
40|24|0.090305607
40|25|0.07807312
40|26|0.112883634
40|27|0.10083428
40|28|0.090769271
40|29|0.10680815
40|30|0.12323433
41|1|0.04509729
41|2|0.054381903
41|3|0.076112658
41|4|0.081887059
41|5|0.09994683
41|6|0.093165393
41|7|0.10607289
41|8|0.099379511
41|9|0.098196059
41|10|0.090080077
41|11|0.089539316
41|12|0.083514446
41|13|0.076498589
41|14|0.074446268
41|15|0.078184221
41|16|0.067003263
41|17|0.067469178
41|18|0.058171227
41|19|0.055185037
41|20|0.066495108
41|21|0.050940724
41|22|0.041541693
41|23|0.043910737
41|24|0.045919381
41|25|0.041396779
41|26|0.031205723
41|27|0.033520291
41|28|0.026505344
41|29|0.031003652
41|30|0.028212224
42|1|0.04509729
42|2|0.050118711
42|3|0.052719092
42|4|0.052402076
42|5|0.041620278
42|6|0.047172566
42|7|0.044996085
42|8|0.048342541
42|9|0.05539871
42|10|0.04985844
42|11|0.042133702
42|12|0.051098603
42|13|0.059507897
42|14|0.054546202
42|15|0.054876893
42|16|0.059857896
42|17|0.063077506
42|18|0.063046575
42|19|0.055945318
42|20|0.062485762
42|21|0.065424454
42|22|0.066280314
42|23|0.062062158
42|24|0.065140619
42|25|0.070414748
42|26|0.062554825
42|27|0.060633247
42|28|0.06506012
42|29|0.05940085
