Date, Open, High, Low, Close, Volume
06/11/13, 327.40, 330.798, 320.00, 329.80, 12760.05
06/10/13, 305.00, 318.20, 303.40, 316.20, 9621.7
06/07/13, 304.60, 321.00, 288.40, 309.00, 13684.7
06/06/13, 327.00, 330.20, 307.00, 307.60, 11801.15
06/05/13, 318.80, 326.72, 312.80, 324.60, 18317.05
06/04/13, 303.00, 316.00, 300.00, 315.80, 17224.8
06/03/13, 309.20, 316.20, 300.00, 303.20, 16756.5
05/31/13, 301.60, 308.80, 291.002, 308.80, 13055.65
05/30/13, 287.80, 298.00, 282.842, 296.60, 11924.8
05/29/13, 277.00, 298.60, 276.80, 289.00, 25104.3
05/28/13, 255.20, 276.20, 254.40, 271.80, 15922.55
05/24/13, 265.40, 273.40, 263.40, 264.40, 9103.65
05/23/13, 255.60, 266.60, 255.00, 262.00, 16315.45
05/22/13, 229.80, 253.00, 225.60, 249.00, 26404.4
05/21/13, 235.00, 235.00, 230.20, 231.60, 3894.75
05/20/13, 237.60, 238.40, 235.60, 236.20, 8941.1
05/17/13, 239.20, 242.00, 237.80, 238.00, 1315.15
05/16/13, 240.00, 243.80, 237.00, 241.60, 7157.85
05/15/13, 245.40, 248.00, 238.40, 238.60, 2866.75
05/14/13, 246.40, 247.40, 243.80, 245.20, 2680.6
05/13/13, 250.40, 252.20, 248.00, 248.60, 1468.1
05/10/13, 251.40, 255.156, 251.40, 251.60, 1885.5
05/09/13, 249.20, 256.00, 249.20, 254.80, 2517.6
05/08/13, 249.60, 254.08, 242.80, 249.60, 2871.05
05/07/13, 254.60, 255.80, 249.80, 250.00, 7456.95
05/06/13, 256.60, 256.676, 254.20, 254.60, 830.4
05/03/13, 255.80, 260.00, 254.80, 258.40, 2739.75
05/02/13, 264.60, 265.20, 259.20, 261.00, 2600.9
05/01/13, 260.20, 268.40, 259.60, 267.20, 3995.95
04/30/13, 267.00, 270.40, 260.80, 260.80, 5983.9
04/29/13, 274.20, 276.40, 270.00, 270.668, 2136.8
04/26/13, 275.60, 277.868, 272.60, 277.00, 3315.95
04/25/13, 270.60, 278.80, 270.60, 274.80, 2474.15
04/24/13, 273.60, 275.80, 271.00, 272.00, 1486.4
04/23/13, 275.20, 279.40, 272.40, 274.20, 2258.95
04/22/13, 275.40, 283.60, 274.20, 278.60, 3992.2
04/19/13, 290.40, 290.40, 277.20, 278.00, 4809.85
04/18/13, 290.20, 295.00, 287.40, 290.60, 3261.2
04/17/13, 285.40, 295.80, 284.20, 290.00, 7394.45
04/16/13, 290.20, 296.20, 280.20, 281.00, 6437.45
04/15/13, 280.80, 295.80, 280.00, 293.80, 9719.15
04/12/13, 283.00, 283.198, 278.60, 278.60, 4898.65
04/11/13, 284.00, 286.00, 276.998, 280.60, 9205.55
04/10/13, 287.80, 290.20, 284.80, 286.20, 4089.6
04/09/13, 288.00, 296.00, 287.80, 291.80, 5998.05
04/08/13, 297.20, 303.00, 281.80, 290.62, 3984.15
04/05/13, 312.40, 313.00, 299.40, 300.40, 9523.05
04/04/13, 316.40, 316.80, 302.60, 303.80, 10574.65
04/03/13, 314.00, 321.40, 312.20, 318.20, 4985.4
04/02/13, 316.80, 318.40, 312.20, 315.40, 4630.2
04/01/13, 321.00, 327.00, 319.00, 319.40, 2899.5
03/28/13, 325.40, 328.00, 321.20, 322.00, 4202.6
03/27/13, 332.00, 332.20, 325.40, 326.20, 3108.45
03/26/13, 331.80, 331.80, 326.20, 327.20, 10747.5
03/25/13, 333.80, 337.80, 330.20, 335.40, 2230.15
03/22/13, 339.60, 341.80, 335.00, 336.40, 1602.65
03/21/13, 339.60, 342.004, 335.20, 341.80, 4099.1
03/20/13, 341.00, 341.80, 336.202, 338.40, 1529.2
03/19/13, 336.60, 348.40, 333.60, 342.40, 16669.6
03/18/13, 338.20, 339.178, 333.80, 336.40, 5371.2
03/15/13, 334.40, 339.00, 331.20, 332.20, 4731.8
03/14/13, 338.60, 340.00, 333.00, 333.72, 2106.1
03/13/13, 341.20, 344.40, 338.60, 340.80, 1631.45
03/12/13, 336.60, 343.20, 336.00, 341.00, 2415.8
03/11/13, 337.40, 342.00, 336.60, 337.40, 1752.6
03/08/13, 336.80, 344.60, 336.00, 338.80, 2271.8
03/07/13, 334.60, 341.40, 333.20, 340.20, 1918.9
03/06/13, 330.00, 338.80, 328.00, 335.00, 2192.3
03/05/13, 338.80, 340.80, 331.40, 333.20, 1820.55
03/04/13, 356.20, 356.20, 338.80, 340.80, 4466.65
03/01/13, 354.80, 360.00, 347.60, 348.60, 5210.95
02/28/13, 350.40, 352.40, 347.00, 351.60, 3506.6
02/27/13, 357.60, 360.612, 346.20, 351.40, 2926.35
