Date, Open, High, Low, Close, Volume
01/03/03, 90.91, 91.387, 90.50, 91.35, 32226000
01/02/03, 88.85, 91.30, 88.54, 91.07, 44639398
12/31/02, 87.99, 88.43, 87.11, 88.23, 34036898
12/30/02, 87.7969, 88.47, 87.22, 88.11, 29969500
12/27/02, 88.96, 89.29, 87.38, 87.38, 22208000
12/26/02, 89.70, 90.61, 88.84, 89.39, 17486199
12/24/02, 89.59, 89.86, 89.25, 89.355, 10937000
12/23/02, 89.59, 90.47, 89.31, 90.02, 22645400
12/20/02, 89.20, 90.02, 89.10, 89.99, 31179699
12/19/02, 89.35, 90.70, 88.60, 89.16, 39286699
12/18/02, 90.32, 90.40, 89.33, 89.80, 35633500
12/17/02, 91.372, 91.74, 90.74, 90.85, 32393400
12/16/02, 89.82, 91.79, 89.66, 91.65, 37103301
12/13/02, 89.91, 90.48, 89.27, 89.34, 36866102
12/12/02, 91.20, 91.49, 90.20, 90.77, 34478898
12/11/02, 90.42, 91.62, 90.16, 90.78, 39204000
12/10/02, 90.02, 91.10, 89.76, 90.70, 33438898
12/09/02, 91.07, 91.46, 89.48, 89.50, 36793500
12/06/02, 90.12, 92.17, 89.98, 92.03, 50129199
12/05/02, 92.70, 92.801, 91.10, 91.43, 36775898
12/04/02, 91.77, 93.14, 91.43, 92.45, 64127898
12/03/02, 93.25, 93.40, 92.35, 92.87, 34422500
12/02/02, 95.47, 96.05, 93.22, 94.13, 49788500
11/29/02, 94.80, 94.95, 93.77, 93.98, 19385699
11/27/02, 92.52, 94.65, 92.43, 94.28, 37764398
11/26/02, 93.074, 93.45, 91.62, 91.70, 42289699
11/25/02, 93.43, 94.26, 92.77, 93.48, 34058602
11/22/02, 93.48, 94.27, 93.273, 93.42, 32513900
11/21/02, 92.60, 94.19, 92.43, 94.09, 55162398
11/20/02, 89.98, 92.42, 89.95, 92.37, 36811602
11/19/02, 90.02, 91.10, 89.76, 90.36, 32808102
11/18/02, 92.15, 92.15, 90.35, 90.48, 28945900
11/15/02, 90.00, 91.55, 89.95, 91.40, 39166199
11/14/02, 90.07, 91.00, 89.759, 90.73, 31938699
11/13/02, 88.32, 89.749, 87.45, 89.05, 63905000
11/12/02, 88.66, 89.93, 88.37, 88.96, 37769398
11/11/02, 89.515, 89.56, 87.80, 88.26, 33580801
11/08/02, 90.53, 91.57, 89.52, 89.65, 37911102
11/07/02, 92.027, 92.22, 90.22, 90.76, 51574102
11/06/02, 92.48, 93.07, 90.79, 93.04, 65270000
11/05/02, 90.84, 92.07, 90.84, 91.85, 37282199
11/04/02, 91.80, 92.94, 90.90, 91.13, 49081801
11/01/02, 88.35, 90.82, 88.05, 90.27, 51889500
10/31/02, 89.66, 90.30, 88.19, 88.52, 41621102
10/30/02, 88.68, 89.96, 88.23, 89.43, 41703000
10/29/02, 89.08, 89.49, 87.00, 88.57, 59529801
10/28/02, 91.15, 91.29, 88.85, 89.61, 39427000
10/25/02, 88.215, 90.39, 87.944, 90.20, 43724500
10/24/02, 90.75, 90.90, 88.10, 88.36, 55149801
10/23/02, 88.77, 90.27, 87.68, 90.20, 55112500
10/22/02, 89.05, 90.01, 88.52, 89.52, 41214699
10/21/02, 88.121, 90.50, 87.57, 90.17, 45970699
10/18/02, 87.65, 89.11, 86.93, 88.64, 47559102
10/17/02, 88.87, 89.30, 87.85, 88.27, 68584398
10/16/02, 87.417, 87.80, 85.924, 86.55, 63526898
10/15/02, 86.991, 88.72, 86.856, 88.70, 82538305
10/14/02, 83.20, 84.85, 83.04, 84.63, 40638398
10/11/02, 82.10, 84.73, 81.82, 84.16, 82321703
10/10/02, 77.94, 81.07, 77.07, 80.63, 76752102
10/09/02, 79.09, 79.70, 77.78, 78.10, 79893906
10/08/02, 79.81, 81.31, 78.20, 80.37, 79531602
10/07/02, 80.065, 81.20, 78.55, 79.13, 53211102
10/04/02, 82.80, 82.92, 79.58, 80.80, 68628398
10/03/02, 83.14, 84.60, 81.95, 82.31, 55548898
10/02/02, 84.69, 85.53, 82.60, 83.15, 56846801
10/01/02, 82.4375, 85.77, 81.47, 85.72, 67274797
09/30/02, 82.00, 82.80, 80.01, 81.79, 73095305
09/27/02, 85.00, 85.63, 82.75, 82.75, 64776602
09/26/02, 85.02, 85.97, 84.45, 85.73, 53670801
09/25/02, 83.373, 84.77, 82.04, 84.35, 59294500
09/24/02, 82.44, 83.65, 81.85, 82.31, 69554508
09/23/02, 83.65, 84.066, 82.69, 83.66, 46904898
09/20/02, 84.92, 85.20, 84.05, 84.35, 46325699
09/19/02, 85.995, 86.80, 84.70, 84.70, 48514000
09/18/02, 87.017, 88.50, 86.283, 86.95, 54829500
09/17/02, 90.89, 91.19, 87.75, 87.83, 47762102
09/16/02, 89.317, 89.89, 88.466, 89.89, 28167600
09/13/02, 88.698, 89.90, 88.25, 89.67, 41131000
09/12/02, 90.753, 90.843, 88.99, 89.45, 43631500
09/11/02, 92.47, 93.33, 91.10, 91.13, 27745600
09/10/02, 91.14, 91.78, 90.56, 91.70, 41426699
09/09/02, 89.10, 91.351, 88.80, 90.66, 34074898
